user_id,prd_id,title,ranking
Azerbaijan,Snacks,Snacks,934
Panama,Cosmetics,Cosmetics,4551
Sao Tome and Principe,Fruits,Fruits,9986
Sao Tome and Principe,Personal Care,Personal Care,9118
Belize,Household,Household,5858
Denmark,Clothes,Clothes,1149
Germany,Cosmetics,Cosmetics,7964
Turkey,Fruits,Fruits,6307
United Kingdom,Snacks,Snacks,8217
Kazakhstan,Cosmetics,Cosmetics,2758
Haiti,Cosmetics,Cosmetics,1031
Italy,Clothes,Clothes,1165
Malta,Household,Household,3322
Jordan,Household,Household,4693
Cambodia,Vegetables,Vegetables,4502
Saint Kitts and Nevis ,Office Supplies,Office Supplies,9004
Cameroon,Fruits,Fruits,6486
Bahrain,Vegetables,Vegetables,2264
Solomon Islands,Beverages,Beverages,3688
Monaco,Office Supplies,Office Supplies,5137
Comoros,Beverages,Beverages,3022
Iceland,Meat,Meat,786
Zambia,Cosmetics,Cosmetics,3902
Egypt,Cereal,Cereal,4875
Togo,Clothes,Clothes,8242
Saudi Arabia,Vegetables,Vegetables,5569
Morocco,Vegetables,Vegetables,456
Tunisia ,Office Supplies,Office Supplies,3532
Angola,Cosmetics,Cosmetics,7458
Vietnam,Cereal,Cereal,1927
Belarus,Meat,Meat,8663
Myanmar,Snacks,Snacks,6420
Lithuania,Fruits,Fruits,5984
Switzerland,Baby Food,Baby Food,5173
Antigua and Barbuda ,Baby Food,Baby Food,3835
Mongolia,Meat,Meat,8851
Greenland,Fruits,Fruits,9131
Eritrea,Cosmetics,Cosmetics,618
Lithuania,Baby Food,Baby Food,1285
Saint Vincent and the Grenadines,Personal Care,Personal Care,6138
Portugal,Vegetables,Vegetables,2212
Somalia,Beverages,Beverages,3575
Turkey,Clothes,Clothes,6326
Israel,Vegetables,Vegetables,3594
Dominica,Clothes,Clothes,540
Luxembourg,Meat,Meat,9357
Switzerland,Meat,Meat,4269
Singapore,Baby Food,Baby Food,6530
Cyprus,Snacks,Snacks,9427
Botswana,Baby Food,Baby Food,3276
Belize,Office Supplies,Office Supplies,428
Malawi,Clothes,Clothes,260
Kyrgyzstan,Personal Care,Personal Care,4185
Macedonia,Snacks,Snacks,645
Rwanda,Household,Household,114
Cape Verde,Snacks,Snacks,96
Pakistan,Office Supplies,Office Supplies,128
Kyrgyzstan,Baby Food,Baby Food,6777
Eritrea,Personal Care,Personal Care,8641
Israel,Office Supplies,Office Supplies,1351
Libya,Meat,Meat,2567
Bangladesh,Snacks,Snacks,6982
Benin,Vegetables,Vegetables,1320
Burundi,Snacks,Snacks,9336
Malta,Beverages,Beverages,6815
Saint Vincent and the Grenadines,Personal Care,Personal Care,6575
China,Cereal,Cereal,3465
Dominica,Cosmetics,Cosmetics,9365
Albania,Cereal,Cereal,8185
Luxembourg,Vegetables,Vegetables,868
Pakistan,Cosmetics,Cosmetics,388
Bulgaria,Clothes,Clothes,6750
Egypt,Cereal,Cereal,1989
Central African Republic,Meat,Meat,5173
Benin,Household,Household,7401
Turkey,Household,Household,6803
